date,timestamp,update_timestamp,forecast_date,forecast_timestamp,forecast_summary,forecast_text,forecast_code,wind_speed_high,wind_speed_low,wind_direction,relative_humidity_high,relative_humidity_low,temperature_high,temperature_low
2022-01-14,2022-01-14T04:56:00+08:00,2022-01-14T05:32:11+08:00,2022-01-18,2022-01-18T00:00:00+08:00,Occasionally windy. Afternoon passing showers,Passing Showers,PS,25.0,15.0,NNE,90.0,55.0,33.0,24.0
2022-01-14,2022-01-14T17:05:00+08:00,2022-01-14T17:32:13+08:00,2022-01-15,2022-01-15T00:00:00+08:00,Fair and windy.,Windy,WD,30.0,15.0,NNE,85.0,55.0,33.0,24.0
2022-01-14,2022-01-14T17:05:00+08:00,2022-01-14T17:32:13+08:00,2022-01-16,2022-01-16T00:00:00+08:00,Windy. Afternoon passing showers.,Passing Showers,PS,30.0,15.0,NNE,90.0,60.0,33.0,24.0
2022-01-14,2022-01-14T17:05:00+08:00,2022-01-14T17:32:13+08:00,2022-01-17,2022-01-17T00:00:00+08:00,Occasionally windy. Afternoon passing showers.,Passing Showers,PS,25.0,15.0,NNE,90.0,60.0,33.0,24.0
2022-01-14,2022-01-14T17:05:00+08:00,2022-01-14T17:32:13+08:00,2022-01-18,2022-01-18T00:00:00+08:00,Occasionally windy. Afternoon passing showers.,Passing Showers,PS,25.0,15.0,N,90.0,60.0,33.0,24.0
2022-01-15,2022-01-15T05:42:00+08:00,2022-01-15T06:02:12+08:00,2022-01-16,2022-01-16T00:00:00+08:00,Windy. Afternoon passing showers.,Passing Showers,PS,30.0,15.0,NNE,90.0,60.0,33.0,24.0
2022-01-15,2022-01-15T05:42:00+08:00,2022-01-15T06:02:12+08:00,2022-01-17,2022-01-17T00:00:00+08:00,Occasionally windy. Afternoon passing showers.,Passing Showers,PS,25.0,15.0,NNE,90.0,95.0,33.0,24.0
2022-01-15,2022-01-15T05:42:00+08:00,2022-01-15T06:02:12+08:00,2022-01-18,2022-01-18T00:00:00+08:00,Occasionally windy. Afternoon passing showers.,Passing Showers,PS,25.0,15.0,N,90.0,60.0,33.0,24.0
2022-01-15,2022-01-15T05:42:00+08:00,2022-01-15T06:02:12+08:00,2022-01-19,2022-01-19T00:00:00+08:00,Occasionally windy. Afternoon passing showers.,Passing Showers,PS,25.0,10.0,N,90.0,60.0,33.0,24.0
2022-01-15,2022-01-15T17:43:00+08:00,2022-01-15T18:02:12+08:00,2022-01-16,2022-01-16T00:00:00+08:00,Windy. Afternoon passing showers.,Passing Showers,PS,30.0,15.0,NNE,90.0,55.0,33.0,24.0
2022-01-15,2022-01-15T17:43:00+08:00,2022-01-15T18:02:12+08:00,2022-01-17,2022-01-17T00:00:00+08:00,Occasionally windy. Afternoon passing showers.,Passing Showers,PS,25.0,15.0,NNE,90.0,60.0,33.0,24.0
2022-01-15,2022-01-15T17:43:00+08:00,2022-01-15T18:02:12+08:00,2022-01-18,2022-01-18T00:00:00+08:00,Fair and occasionally windy. ,Windy,WD,25.0,15.0,N,85.0,55.0,33.0,24.0
2022-01-15,2022-01-15T17:43:00+08:00,2022-01-15T18:02:12+08:00,2022-01-19,2022-01-19T00:00:00+08:00,Occasionally windy. Afternoon passing showers.,Passing Showers,PS,25.0,10.0,N,90.0,60.0,33.0,24.0
2022-01-16,2022-01-16T05:50:00+08:00,2022-01-16T06:02:11+08:00,2022-01-17,2022-01-17T00:00:00+08:00,Occasionally windy. Afternoon passing showers.,Passing Showers,PS,25.0,15.0,NNE,90.0,55.0,33.0,24.0
2022-01-16,2022-01-16T05:50:00+08:00,2022-01-16T06:02:11+08:00,2022-01-18,2022-01-18T00:00:00+08:00,Fair and occasionally windy. ,Windy,WD,25.0,15.0,N,85.0,55.0,33.0,24.0
2022-01-16,2022-01-16T05:50:00+08:00,2022-01-16T06:02:11+08:00,2022-01-19,2022-01-19T00:00:00+08:00,Occasionally windy. Afternoon passing showers.,Passing Showers,PS,25.0,10.0,N,90.0,60.0,33.0,24.0
